timestamp,reference,reconstructed,raw
15.66,68.463044,68.45991782545678,6846
15.67,68.439194,68.43991784765197,6844
15.68,68.415358,68.41991786984715,6842
15.69,68.391535,68.38991790313995,6839
15.7,68.367726,68.36991792533516,6837
15.71,68.343931,68.33991795862795,6834
15.72,68.320149,68.31991798082313,6832
15.73,68.29638,68.29991800301832,6830
15.74,68.272625,68.26991803631111,6827
15.75,68.248884,68.24991805850632,6825
15.76,68.225156,68.22991808070151,6823
15.77,68.201441,68.1999181139943,6820
15.78,68.17774,68.17991813618949,6818
15.79,68.154053,68.14991816948228,6815
15.8,68.130379,68.12991819167749,6813
15.81,68.106718,68.10991821387267,6811
15.82,68.083071,68.07991824716547,6808
15.83,68.059437,68.05991826936065,6806
15.84,68.035817,68.03991829155586,6804
15.85,68.01221,68.00991832484866,6801
15.86,67.988616,67.98991834704384,6799
15.87,67.965036,67.96991836923902,6797
15.88,67.941469,67.93991840253182,6794
15.89,67.917916,67.91991842472703,6792
15.9,67.894375,67.88991845801982,6789
15.91,67.870848,67.869918480215,6787
15.92,67.847335,67.84991850241019,6785
15.93,67.823835,67.81991853570298,6782
15.94,67.800348,67.7999185578982,6780
15.95,67.776874,67.77991858009338,6778
15.96,67.753414,67.74991861338617,6775
15.97,67.729966,67.72991863558136,6773
15.98,67.706532,67.70991865777657,6771
15.99,67.683112,67.67991869106936,6768
16.0,67.659704,67.65991871326455,6766
16.01,67.63631,67.63991873545973,6764
16.02,67.612929,67.60991876875252,6761
16.03,67.589561,67.58991879094773,6759
16.04,67.566206,67.56991881314292,6757
16.05,67.542864,67.53991884643571,6754
16.06,67.519536,67.5199188686309,6752
16.07,67.496221,67.49991889082611,6750
16.08,67.472918,67.4699189241189,6747
16.09,67.449629,67.44991894631409,6745
16.1,67.426353,67.42991896850927,6743
16.11,67.40309,67.39991900180206,6740
16.12,67.37984,67.37991902399727,6738
16.13,67.356603,67.35991904619246,6736
16.14,67.33338,67.32991907948525,6733
16.15,67.310169,67.30991910168044,6731
16.16,67.286971,67.28991912387565,6729
16.17,67.263786,67.25991915716844,6726
16.18,67.240615,67.23991917936362,6724
16.19,67.217456,67.21991920155881,6722
16.2,67.19431,67.1899192348516,6719
16.21,67.171177,67.16991925704681,6717
16.22,67.148057,67.149919279242,6715
16.23,67.12495,67.11991931253479,6712
16.24,67.101856,67.09991933472998,6710
16.25,67.078775,67.07991935692519,6708
16.26,67.055707,67.05991937912037,6706
16.27,67.032652,67.02991941241316,6703
16.28,67.009609,67.00991943460835,6701
16.29,66.98658,66.98991945680356,6699
16.3,66.963563,66.95991949009635,6696
16.31,66.940559,66.93991951229154,6694
16.32,66.917568,66.91991953448672,6692
16.33,66.89459,66.88991956777951,6689
16.34,66.871625,66.86991958997473,6687
16.35,66.848672,66.84991961216991,6685
16.36,66.825733,66.8299196343651,6683
16.37,66.802806,66.79991966765789,6680
16.38,66.779891,66.7799196898531,6678
16.39,66.75699,66.75991971204829,6676
16.4,66.734101,66.72991974534108,6673
16.41,66.711225,66.70991976753626,6671
16.42,66.688362,66.68991978973148,6669
16.43,66.665511,66.66991981192666,6667
16.44,66.642673,66.63991984521945,6664
16.45,66.619848,66.61991986741464,6662
16.46,66.597036,66.59991988960985,6660
16.47,66.574236,66.56991992290264,6657
16.48,66.551449,66.54991994509783,6655
16.49,66.528674,66.52991996729301,6653
16.5,66.505912,66.50991998948822,6651
16.51,66.483163,66.47992002278102,6648
16.52,66.460426,66.4599200449762,6646
16.53,66.437702,66.43992006717139,6644
16.54,66.41499,66.40992010046418,6641
16.55,66.392292,66.38992012265939,6639
16.56,66.369605,66.36992014485458,6637
16.57,66.346931,66.34992016704976,6635
16.58,66.32427,66.31992020034255,6632
16.59,66.301621,66.29992022253776,6630
16.6,66.278985,66.27992024473295,6628
16.61,66.256361,66.25992026692813,6626
16.62,66.23375,66.22992030022093,6623
16.63,66.211151,66.20992032241614,6621
16.64,66.188565,66.18992034461132,6619
16.65,66.165991,66.16992036680651,6617
16.66,66.143429,66.1399204000993,6614
16.67,66.120881,66.11992042229451,6612
16.68,66.098344,66.0999204444897,6610
16.69,66.07582,66.07992046668491,6608
16.7,66.053308,66.0499204999777,6605
16.71,66.030809,66.02992052217289,6603
